title,description,url
Funding Opportunities for Businesses - Contra Costa County,"The MicroLoan Program provides very small loans to start-up, newly established, or growing small business concerns. Under this program, SBA makes funds ...",https://www.contracosta.ca.gov/5522/Funding-Opportunities-for-Businesses
Resources For Impacted Businesses - Contra Costa County,"The Contra Costa SBDC has created tools for navigating the economic difficulties posed by COVID-19. For personalized assistance, businesses can call (925) ...",https://www.contracosta.ca.gov/7790/Resources-For-Impacted-Businesses
COVID-19 Economic Resources - Contra Costa County,New Financial Resources Announced! California Small Business COVID-19 Relief Grant Program. These programs are funded by the State of California ...,https://www.contracosta.ca.gov/7778/COVID-19-Economic-Resources
COVID-19 Resources - Contra Costa County,Find information and health updates on COVID-19 from Contra Costa Health Services ... California's Small Business COVID-19 Relief Grant Program has closed.,https://www.contracosta.ca.gov/7773/COVID-19-Resources
Contra Costa - California Small Business COVID-19 Relief ...,California Small Business COVID-19 Relief Grant Program. This Program is funded by the State of ... Contra Costa. The following partners serve your county.,https://careliefgrant.com/partner/contra-costa/
Contra Costa County Micro-Enterprise Relief Fund,The Contra Costa County Micro-Enterprise Relief Fund offers grants to Contra Costa County micro-businesses impacted by the COVID-19 pandemic.,https://rencenter.org/contra-costa-county-micro-enterprise-relief-fund/
"COVID-19 | Richmond, CA - Official Website",... a Contra Costa County Micro-Enterprise Relief Fund offering grants to Contra Costa County micro-businesses impacted by the COVID-19 pandemic. Grants of ...,https://www.ci.richmond.ca.us/3998/COVID-19
"COVID-19 Business Resources | Concord, CA","Effective September 22, 2021, Contra Costa County requires patrons utilizing the indoor facilities of restaurants, bars, theaters serving food, and fitness ...",https://www.cityofconcord.org/856/COVID-19-Business-Resources
COVID-19 - East Bay SBDC,The latest updates on CARES Act funds and federal and state regulatory policy ... and information specific to reopening businesses in Northern California.,https://www.eastbaysbdc.org/covid-19/
Contra Costa County Now Accepting Applications for New ...,"Concord, Calif. – The Workforce Development Board of Contra Costa County is now accepting applications for layoff aversion grants through its ...",https://ehsd.org/2020/11/18/contra-costa-county-now-accepting-applications-for-new-layoff-aversion-grant-for-small-businesses/
Emergency Resources for the Community - Contra Costa ...,Business Hours M-F 9 am – 4 pm / Holidays excluded ... Contra Costa Health Services COVID-19 Updates ... Rental Assistance - CA COVID-19 Rent Relief,https://www.cccba.org/emergency-resources-for-the-community/
COVID-19 Resources for Local Businesses & Employers,"These workshops are available to Contra Costa County based businesses and are very ... The University of California, Berkeley - New Business Community Law ...",https://el-cerrito.org/1422/COVID-19-Resources-for-Local-Businesses
"COVID-19 Business Resources | Pleasant Hill, CA","The City of Pleasant Hill is offering reimbursement micro-grants of up to $1,500 ... Contra Costa County and State Health Orders Impact Business Operations.",https://www.pleasanthillca.org/1416/COVID-19-Business-Resources
Coronavirus Updates & The Business Assistance Program,The Contra Costa County Micro-Enterprise Relief Fund offers grants to micro-businesses impacted by the COVID-19 pandemic in Contra Costa ...,https://lafayettechamber.org/coronavirus-update-business-could-take-a-real-hit/
