Name,San Francisco County,Alameda County,San Mateo County,Contra Costa County,Santa Clara County,County,Category,Black Owned,LGBTQ,Women,Who Applies,100 or fewer employees,500 or fewer employees,750 or fewer employees,750 or more,Type of Relief,Award Type,Award Amount Specified,Max Award Amount,Interest Rate Applicable,Interest rate,Type of Support,Public or Private (Grant Provider),Type Entity Offering Support,Name of Entity,Is there a Deadline,Deadline,Possible Additional Stage of Funding?,English,Spanish,Chinese,Website,Other Details,Date Added,Added By,Date Reviewed/updated,Reviewed By,Review Notes,Expired,Archive
$1500 Grant Program for Oakland Entrepreneurs,No,Yes,No,No,No,Some,All,No,No,No,Businesses Only,Yes,Yes,Yes,Yes,COVID,One-Time,Yes,"$1,500",No,,Grant,Private,Non-Profit,Alameda County-Oakland Community Action Partnership and Renaissance Entrepreneurship Center,No,,Yes,Yes,Yes,No,https://myemail.constantcontact.com/UPDATED---1-500-Grant-for-Oakland-Entrepreneurs.html?aid=BHZz7wW05FA&soid=1100520113669,First come first served,9/1/2021,Rocio Ng,,,,,
2020 TIP Office Annual Program Statement to Address Impacts of COVID-19,Yes,Yes,Yes,Yes,Yes,All,Unknown,No,No,No,All,Yes,Yes,Yes,Yes,COVID,One-Time,No,,,,Grant,Public,Government,U.S. Department of State,Yes,6/30/2021,,Yes,No,No,https://sr.usembassy.gov/wp-content/uploads/sites/115/Combating-COVIDs-impact-on-efforts-to-combat-human-trafficking.pdf,,5/19/2021,Greg Boyer,,,,,
Accion Opportunity Fund Small Business Loans,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Businesses Only,Yes,Yes,Yes,Yes,Other,One-Time,Yes,"$100,000",Yes and Reported,0.0599,Loan,Private,Private,Accion Opportunity Fund,No,,Yes,Yes,Yes,Yes,https://aofund.org/small-business-loans/#!,,7/16/2021,Rocio Ng,,,,,
Actors Fund Entertainment Assistance Program,Yes,Yes,Yes,Yes,Yes,All,Entertainment,No,No,No,Individuals Only,Yes,No,No,No,COVID,One-Time,No,,No,,Grant,Private,Non-Profit,The Actors Fund,Unknown,,Unknown,Yes,No,No,https://actorsfund.org/am-i-eligible-help,"need entertainment industry earnings over $6,500 for three out of the last five years (2015-2020)",10/24/2021,Emily Kasa,,,,,
African American Small Business Revolving Loan Fund,Yes,No,No,No,No,Some,All,Yes,No,No,All,Yes,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$50,000",Yes and Reported,0,Loan,Private,Non-Profit,Give2SF,Unknown,,,Yes,Yes,Yes,https://oewd.org/businesses-impacted-covid-19#AA%20Revolving%20Loan%20Fund,More info: https://www.sfchronicle.com/business/article/SF-creates-coronavirus-loan-fund-for-black-owned-15350767.php,6/24/2020,Seth Puckett,,,,No,
Alameda County Child Care Relief Grant (Wells Fargo Grant),No,Yes,No,No,No,Some,,,,,Individuals Only,Yes,,,,Other,One-Time,Yes,"$10,000",,,Grant,Private,Private,Wells Fargo Bank,Yes,10/1/2021,,,,,https://4calameda.org/about/newsletter/,,10/13/2021,,,,,,
Alameda Strong Relief Fund,No,Yes,No,No,No,Some,All,No,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,Yes,"$7,500",No,,Grant,Public,Government,City of Alameda,Yes,10/20/2021,Yes,Yes,No,No,https://www.alamedaca.gov/ONLINE-SERVICES/Alameda-Strong-Relief-Fund,,,,,,,,
Amazon Relief Fund ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,All,No,No,No,Individuals Only,Not Applicable,Not Applicable,Not Applicable,Not Applicable,COVID,One-Time,Yes,"$5,000",No,,Grant,Private,Private,Amazon ,Unknown,,,Yes,Yes,Yes,https://amazonrelieffund.org,"Amazon employees and contractors.  Initial qualifying individuals include: Amazon Flex Delivery Partners, Delivery Service Partner Delivery Associates, Temporary Associates employed by qualifying staffing agencies, and drivers for line haul carrier partners.",6/29/2020,Emily Kasa,,,,No,
Amber Grant for Women,Yes,Yes,Yes,Yes,Yes,All,All,No,No,Yes,Businesses Only,Unknown,Unknown,Unknown,Unknown,Other,One-Time,Yes,"$25,000",No,,Grant,Private,Private,Womensnet.net,No,,Yes,Yes,No,No,https://ambergrantsforwomen.com/get-an-amber-grant/,Rolling,10/13/2021,Rocio Ng,,,,,
Artist Relief,Yes,Yes,Yes,Yes,Yes,All,Entertainment,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$5,000",No,,Grant,Private,Non-Profit,Artist Relief Fund,Yes,6/23/2021,Unknown,Yes,No,No,https://www.artistrelief.org,,5/12/2021,Emily Kasa,,,,,
Authors League Fund,Yes,Yes,Yes,Yes,Yes,All,Arts,No,No,No,Individuals Only,Yes,No,No,No,COVID,One-Time,No,,No,,Loan,Private,Non-Profit,Authors League Fund,Unknown,,Unknown,Yes,No,No,https://authorsleaguefund.org/apply/,Need one formal publication,10/24/2021,Emily Kasa,,,,,
Bay Area Black Owned Business Relief Fund,Yes,Yes,Yes,Yes,Yes,All,All,Yes,No,No,All,Unknown,Unknown,Unknown,Unknown,Protest Damage,One-Time,No,,No,,Grant,Private,GoFund Me,Bay Area Black Owned Business Relief Fund,Unknown,,,Yes,No,No,https://docs.google.com/forms/d/e/1FAIpQLSdXQmSNSHzPTuuffzgOvWPGRCt4dmEHHQJQSn2mCr-DjzDq_Q/viewform,https://www.gofundme.com/f/bay-area-black-owned-business-relief-fund,6/10/2020,Emily Kasa,6/25/2020,Seth Puckett,,No,
Bay Area Organization of Black Owned Businesses (BAOBOB),Yes,Yes,Yes,Yes,Yes,All,All,Yes,Yes,No,All,Yes,Yes,Yes,Yes,Both,Recurring,No,,Unknown,,Grant,Private,Private,BAOBOB,Unknown,,,Yes,No,No,https://baobobdirectory.com/,Directory,6/17/2020,Charles Beta,,,,No,
Berkeley Relief Fund,No,Yes,No,No,No,Some,All,No,No,No,All,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$10,000",No,0,Grant,Public,Government,Berkeley City Council,Unknown,,,Yes,No,No,https://berkeleyrelieffund.org/,,6/10/2020,Arnav Khanna,6/22/2020,Dee Jomo,,No,
Black Founder Startup Grant,Yes,Yes,Yes,Yes,Yes,All,All,Yes,No,Yes,Businesses Only,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,One-Time,Yes,"$10,000",No,,Grant,Private,Private,SoGal,No,,Yes,Yes,No,No,http://www.iamsogal.com/black-founder-startup-grant/,Rolling,10/13/2021,Rocio Ng,,,,,
Black Spatial Relics: Micro Grants for Community Care and Collective Research,Yes,Yes,Yes,Yes,Yes,All,Arts,Yes,No,No,Individuals Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,$500,No,,Grant,Private,Private,Black Spatial Relics,Yes,5/31/2021,,Yes,No,No,https://www.blackspatialrelics.org/2021-microgrant-app,,5/19/2021,Greg Boyer,,,,,
Business For All,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$50,000",No,0,Grant,Private,Non-Profit,Business For All,Yes,9/25/2019,,Yes,No,No,https://businessforall.helloalice.com,,6/5/2020,Emily Kasa,6/22/2020,Dee Jomo,,Yes,
California Capital Access Program (CalCAP),Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Unknown,Unknown,Unknown,Unknown,Both,Recurring,No,,Yes but not Reported,,Loan,Public,Government,California State treasurer,No,,,Yes,Unknown,Unknown,https://www.treasurer.ca.gov/cpcfa/calcap/sb/index.asp,,,,,,,No,
California Disaster Relief Loan Guarantee Program — COVID-19,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Unknown,Unknown,Yes,No,COVID,One-Time,No,,Yes but not Reported,,Loan,Public,Government,State Gov,Unknown,,,Yes,Yes,No,https://www.ibank.ca.gov/small-business-finance-center/,,6/5/2020,Emily Kasa,06/10/20,Ravi Patel,,No,
California Fisheries Fund,Yes,Yes,Yes,Yes,Yes,All,Agriculture,No,No,No,Individuals Only,Yes,No,No,No,Other,One-Time,Yes,"$3,000,000",Yes and Reported,0.06,Loan,Private,Private,California Fisheries Fund,No,,Unknown,Yes,No,No,https://communityvisionca.org/cafisheriesfund/#1545252493871-06d128c0-22cf,,,,,,,,
California Infrastructure Bank (IBank),Yes,Yes,Yes,Yes,Yes,All,Multiple,No,No,No,All,Yes,Yes,Yes,No,COVID,One-Time,No,"$1,000,000",Yes but not Reported,,Loan,Public,Government,State of California,Unknown,,,Yes,Yes,No,https://www.ibank.ca.gov/,,6/17/2020,Charles Beta,1/26,Jen Hofmann,Added max loan amount,No,
California Rebuilding Fund,Yes,Yes,Yes,Yes,Yes,Yes,Multiple,No,No,No,Businesses Only,Yes,Yes,Yes,No,COVID,One-Time,No,,Yes and Reported,0.0425,Loan,Public,Government,CA Infrasturcture and Economic Development Back (IBank),Unknown,,,Yes,No,No,https://www.connect2capital.com/p/californiarebuildingfund/california-rebuilding-fund-pre-application/,Not open yet - Updated (7/16) Open Now,9/16/2020,Rocio Ng,1/26,Rocio Ng,found new link and updated,No,
California Small Business COVID-19 Relief Grant Program,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Yes,Yes,Yes,Yes,COVID,One-Time,Yes,"$25,000",No,,Grant,Public,Government,California Small Business COVID-19 Relief Grant Program,Yes,9/30/2021,Yes,Yes,No,No,https://careliefgrant.com/,,7/16/2021,Rocio Ng,,,,,
California Venues Grant Program,Yes,Yes,Yes,Yes,Yes,All,Entertainment,No,No,No,Businesses Only,Not Applicable,Not Applicable,Not Applicable,Not Applicable,COVID,One-Time,Yes,"$250,000",No,,Grant,Private,Private,California Venues,Yes,11/19/2021,Yes,Yes,Yes,Yes,https://cavenuesgrant.com/,,10/20/2021,Rocio Ng,,,,,
CalNonprofits Grant Program ,Yes,Yes,Yes,Yes,Yes,All,Multiple,No,No,No,Non-Profits Only,Yes,Yes,Yes,Yes,COVID,One-Time,Yes,"$25,000",No,,Grant,Public,Government,CalNonprofits,Yes,9/30/2021,Yes,Yes,No,No,https://docs.google.com/document/d/1cR5D3qL9oq2d-ZycXFHqCRGuZ3x_u_N68YCYdTpmr34/edit,Other website: https://calnonprofits.org/publications/article-archive/740-ca-small-business-relief-grant-program-webinar,10/24/2021,Marshall Fisher,,,,,
Comcast Rise,No,Yes,No,No,No,,Unknown,Yes,No,No,Businesses Only,Yes,No,No,No,Other,One-Time,Yes,"$10,000",No,,Grant,Private,Private,Comcast,Yes,10/14/2021,Yes,Yes,Unknown,Unknown,https://www.comcastrise.com/,,,,,,,,
COMMUNITY ARTS COVID RESPONSE GRANTS,Yes,Yes,No,Yes,No,Some,Arts,No,No,No,Non-Profits Only,Yes,Yes,Yes,Yes,COVID,One-Time,Yes,"$15,000",No,,Grant,Private,Private,Zellerbach Family Foundation,Yes,12/20/2021,Yes,Yes,No,No,https://zff.org/ca-covid-response-grants/,,5/19/2021,Rocio Ng,,,,,
Community Mental Health Centers (CMHC) Grant Program,Yes,Yes,Yes,Yes,Yes,All,Healthcare,No,No,No,All,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$2,500,000",No,,Grant,Public,Government,Substance Abuse and Mental Health Services Administration,Yes,5/21,Yes,Yes,Yes,Yes,https://www.samhsa.gov/grants/grant-announcements/sm-21-014,,5/19/2021,Rocio Ng,,,,,
Community Vision,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Businesses Only,Yes,Yes,Yes,Yes,COVID,One-Time,No,"$3,500,000",Yes and Reported,0.06,Loan,Public,Government,Community Vision Capital & Consulting,No,,Unknown,Yes,No,No,https://communityvisionca.org/lending/#1551813127901-ff88f4a4-444f,,10/13/2021,Ian Colrick,,,,,
