Name,San Francisco County,Alameda County,San Mateo County,Contra Costa County,Santa Clara County,County,Category,Black Owned,LGBTQ,Women,Who Applies,100 or fewer employees,500 or fewer employees,750 or fewer employees,750 or more,Type of Relief,Award Type,Award Amount Specified,Max Award Amount,Interest Rate Applicable,Interest rate,Type of Support,Public or Private,Type Entity Offering Support,Name of Entity,Is there a Deadline,Deadline,English,Spanish,Chinese,Website,Other Details,Date Added
Norcal Small Business Relief Fund,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Protest Damage,One-Time,No,,No,,Grant,Private,Private,"Team Fundraiser: Jane Thomas, Destiny Thomas, Jennifer Louie, Christian Thomas Trent Thomas, Michaela Thomas ",No,,Yes,Unknown,Unknown,https://www.gofundme.com/f/norcal-small-business-relief-fund,,6/10/2020
African American Small Business Revolving Loan Fund,Yes,No,No,No,No,Some,All,Yes,No,No,All,Yes,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$50,000",Yes and Reported,0,Loan,Private,Non-Profit,Give2SF,Unknown,,Yes,Yes,Yes,https://oewd.org/businesses-impacted-covid-19#AA%20Revolving%20Loan%20Fund,More info: https://www.sfchronicle.com/business/article/SF-creates-coronavirus-loan-fund-for-black-owned-15350767.php,6/24/2020
Amazon Relief Fund ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,All,No,No,No,Individuals Only,Not Applicable,Not Applicable,Not Applicable,Not Applicable,COVID,One-Time,Yes,"$5,000",No,,Grant,Private,Private,Amazon ,Unknown,,Yes,Yes,Yes,https://amazonrelieffund.org,"Amazon employees and contractors.  Initial qualifying individuals include: Amazon Flex Delivery Partners, Delivery Service Partner Delivery Associates, Temporary Associates employed by qualifying staffing agencies, and drivers for line haul carrier partners.",6/29/2020
Bay Area Black Owned Business Relief Fund,Yes,Yes,Yes,Yes,Yes,All,All,Yes,No,No,All,Unknown,Unknown,Unknown,Unknown,Protest Damage,One-Time,No,,No,,Grant,Private,GoFund Me,Bay Area Black Owned Business Relief Fund,Unknown,,Yes,No,No,https://docs.google.com/forms/d/e/1FAIpQLSdXQmSNSHzPTuuffzgOvWPGRCt4dmEHHQJQSn2mCr-DjzDq_Q/viewform,https://www.gofundme.com/f/bay-area-black-owned-business-relief-fund,6/10/2020
Bay Area Organization of Black Owned Businesses (BAOBOB),Yes,Yes,Yes,Yes,Yes,All,All,Yes,Yes,No,All,Yes,Yes,Yes,Yes,Both,Recurring,No,,Unknown,,Grant,Private,Private,BAOBOB,Unknown,,Yes,No,No,https://baobobdirectory.com/,Directory,6/17/2020
Berkeley Relief Fund,No,Yes,No,No,No,Some,All,No,No,No,All,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$10,000",No,0,Grant,Public,Government,Berkeley City Council,Unknown,,Yes,No,No,https://berkeleyrelieffund.org/,,6/10/2020
Business For All,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$50,000",No,0,Grant,Private,Non-Profit,Business For All,Yes,9/25/2019,Yes,No,No,https://businessforall.helloalice.com,,6/5/2020
California Capital Access Program (CalCAP),Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Unknown,Unknown,Unknown,Unknown,Both,Recurring,No,,Yes but not Reported,,Loan,Public,Government,California State treasurer,No,,Yes,Unknown,Unknown,https://www.treasurer.ca.gov/cpcfa/calcap/sb/index.asp,,
California Disaster Relief Loan Guarantee Program — COVID-19,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Unknown,Unknown,Yes,No,COVID,One-Time,No,,Yes but not Reported,,Loan,Public,Government,State Gov,Unknown,,Yes,Yes,No,https://www.ibank.ca.gov/small-business-finance-center/,,6/5/2020
California Infrastructure Bank (IBank),Yes,Yes,Yes,Yes,Yes,All,Multiple,No,No,No,All,Yes,Yes,Yes,No,COVID,One-Time,No,,Yes but not Reported,,Loan,Public,Government,State of California,Unknown,,Yes,Yes,No,https://www.ibank.ca.gov/,,6/17/2020
